set_current_pA,measured_current_pA,aberrations
20,[10.116976],"{'A1': [-2.788542557092119e-09, -2.3558738791937235e-09], 'A2': [-5.773358518247315e-08, 5.1906034830697374e-08], 'C3': [1.2936309065476651e-06, 0.0], 'C1': [-9.897123325833754e-09, 0.0], 'A4': [-2.224901176409415e-06, -5.433616559771053e-06], 'A3': [4.392115678262218e-07, -1.911730068177763e-07], 'A5': [-0.00020489057293371701, -0.0002105541868808798], 'B2': [5.435828340420194e-08, -1.4597478193350988e-09], 'B4': [4.5626125739513e-06, -1.1946857653760423e-06], 'S3': [-2.0959890962195905e-07, -1.465418096593391e-08], 'C5': [-0.001075882588101199, 0.0], 'D4': [2.4577175740362626e-05, 2.1152156846011145e-06], 'WD': [-0.0005656490890339322, 0.0005343890665553036], 'acceleration_voltage': 200000.0, 'convergence_angle': 0.03, 'FOV': 500, 'C10': -9.897123325833753, 'C12a': -2.788542557092119, 'C12b': -2.3558738791937235, 'C21a': 54.35828340420194, 'C21b': -1.4597478193350988, 'C23a': -57.73358518247315, 'C23b': 51.90603483069737, 'C30': 1293.630906547665, 'C32a': -209.59890962195905, 'C32b': -14.654180965933909, 'C34a': 439.2115678262218, 'C34b': -191.1730068177763, 'C41a': 24577.175740362625, 'C41b': 2115.2156846011144, 'C43a': 4562.6125739513, 'C43b': -1194.6857653760424, 'C45a': -2224.9011764094153, 'C45b': -5433.616559771052, 'C50': -1075882.5881011991, 'C56a': -204890.57293371702, 'C56b': -210554.1868808798, 'wavelength': np.float64(0.0025079340436272276), 'C01a': 0.0, 'C01b': 0.0, 'C52a': 0.0, 'C52b': 0.0, 'C54a': 0.0, 'C54b': 0.0}"
40,[39.215534],"{'A1': [6.006961703756239e-10, -8.13527331414095e-10], 'A2': [-5.197028563278893e-10, 6.400011546198442e-08], 'C3': [-3.1999433079422023e-06, 0.0], 'C1': [-1.1565052428152427e-09, 0.0], 'A4': [-1.9320417616115168e-06, -9.020482176550867e-07], 'A3': [3.166189115845444e-07, -9.967226639946334e-09], 'A5': [-7.936017947864787e-05, -0.00013151527116367711], 'B2': [6.171887548843314e-08, -2.6465444345382034e-08], 'B4': [-1.560532611695503e-06, 4.441814326755995e-06], 'S3': [-3.8154944649360255e-07, -8.489212522952764e-08], 'C5': [0.0008293563723323364, 0.0], 'D4': [1.701842806479325e-05, 2.28996011574587e-06], 'WD': [-0.0005015667235502208, 0.00046155680712105625], 'acceleration_voltage': 200000.0, 'convergence_angle': 0.03, 'FOV': 500, 'C10': -1.1565052428152427, 'C12a': 0.6006961703756238, 'C12b': -0.8135273314140951, 'C21a': 61.71887548843314, 'C21b': -26.465444345382032, 'C23a': -0.5197028563278894, 'C23b': 64.00011546198442, 'C30': -3199.9433079422024, 'C32a': -381.54944649360255, 'C32b': -84.89212522952765, 'C34a': 316.6189115845444, 'C34b': -9.967226639946334, 'C41a': 17018.42806479325, 'C41b': 2289.96011574587, 'C43a': -1560.532611695503, 'C43b': 4441.814326755994, 'C45a': -1932.0417616115167, 'C45b': -902.0482176550867, 'C50': 829356.3723323364, 'C56a': -79360.17947864787, 'C56b': -131515.27116367713, 'wavelength': np.float64(0.0025079340436272276), 'C01a': 0.0, 'C01b': 0.0, 'C52a': 0.0, 'C52b': 0.0, 'C54a': 0.0, 'C54b': 0.0}"
60,[54.164524],"{'A1': [6.949882983567182e-10, 2.5896317381186153e-10], 'A2': [-6.0289809444104795e-09, 2.7900433327130736e-08], 'C3': [3.1400141062382485e-07, 0.0], 'C1': [-1.095346710126918e-09, 0.0], 'A4': [-7.805313759757251e-06, -2.8958410629049386e-06], 'A3': [9.833708715850267e-08, 4.176858846625622e-08], 'A5': [-2.3056585334576592e-05, -0.0001021661585622723], 'B2': [4.672038366345212e-08, -2.6867076830004047e-08], 'B4': [-8.652116434230944e-07, -3.304683793327216e-07], 'S3': [-5.269344526900039e-07, -2.898918028260343e-08], 'C5': [-0.0005860098961517109, 0.0], 'D4': [1.993072663304953e-05, -1.747311526072205e-06], 'WD': [-0.0002473390718695724, 0.0002353378934433556], 'acceleration_voltage': 200000.0, 'convergence_angle': 0.03, 'FOV': 500, 'C10': -1.095346710126918, 'C12a': 0.6949882983567182, 'C12b': 0.2589631738118615, 'C21a': 46.72038366345212, 'C21b': -26.86707683000405, 'C23a': -6.028980944410479, 'C23b': 27.900433327130735, 'C30': 314.0014106238248, 'C32a': -526.9344526900038, 'C32b': -28.98918028260343, 'C34a': 98.33708715850267, 'C34b': 41.76858846625622, 'C41a': 19930.72663304953, 'C41b': -1747.311526072205, 'C43a': -865.2116434230944, 'C43b': -330.4683793327216, 'C45a': -7805.313759757251, 'C45b': -2895.8410629049386, 'C50': -586009.8961517109, 'C56a': -23056.585334576594, 'C56b': -102166.1585622723, 'wavelength': np.float64(0.0025079340436272276), 'C01a': 0.0, 'C01b': 0.0, 'C52a': 0.0, 'C52b': 0.0, 'C54a': 0.0, 'C54b': 0.0}"
90,[84.95995],"{'A1': [-1.510977889918876e-10, -9.549713420252897e-10], 'A2': [-1.4401599515245864e-08, 4.183605940148899e-08], 'C3': [-4.3824939914480466e-07, 0.0], 'C1': [6.884359104833414e-10, 0.0], 'A4': [-2.543554087137319e-06, -1.0374214343554225e-06], 'A3': [1.4795547274098648e-07, 3.1561976550593745e-07], 'A5': [1.8067661797129635e-05, -5.167535296058126e-05], 'B2': [4.0958174998261374e-08, -3.002415531537706e-08], 'B4': [2.7996666883200628e-06, 2.2945436830125666e-06], 'S3': [-4.833986665454639e-07, -1.1336268173304836e-07], 'C5': [-0.0007174399460048867, 0.0], 'D4': [1.974878706563968e-05, 1.1900804128862876e-06], 'WD': [-0.0006774324340481967, 0.0006256089988599916], 'acceleration_voltage': 200000.0, 'convergence_angle': 0.03, 'FOV': 500, 'C10': 0.6884359104833414, 'C12a': -0.15109778899188758, 'C12b': -0.9549713420252898, 'C21a': 40.95817499826137, 'C21b': -30.024155315377058, 'C23a': -14.401599515245863, 'C23b': 41.83605940148899, 'C30': -438.24939914480467, 'C32a': -483.3986665454639, 'C32b': -113.36268173304836, 'C34a': 147.9554727409865, 'C34b': 315.61976550593744, 'C41a': 19748.78706563968, 'C41b': 1190.0804128862876, 'C43a': 2799.666688320063, 'C43b': 2294.5436830125664, 'C45a': -2543.554087137319, 'C45b': -1037.4214343554224, 'C50': -717439.9460048866, 'C56a': 18067.661797129636, 'C56b': -51675.352960581266, 'wavelength': np.float64(0.0025079340436272276), 'C01a': 0.0, 'C01b': 0.0, 'C52a': 0.0, 'C52b': 0.0, 'C54a': 0.0, 'C54b': 0.0}"
140,[128.43117],"{'A1': [3.660057301119699e-10, -9.575329358736082e-10], 'A2': [-8.797826019893817e-09, 4.5780048729097234e-08], 'C3': [-6.984024685058427e-07, 0.0], 'C1': [-3.3522664284528324e-11, 0.0], 'A4': [1.6983003018604267e-06, -5.058870969500214e-06], 'A3': [1.0335999133700472e-07, 3.2547372576050427e-07], 'A5': [-1.7179941670789677e-05, 1.6605798374551282e-05], 'B2': [4.1022482946085764e-08, -2.0550174657765177e-08], 'B4': [2.9155033874919787e-06, 1.6802193362263043e-07], 'S3': [-5.247134236734985e-07, -9.278744909074952e-08], 'C5': [-0.0004931107116667878, 0.0], 'D4': [1.8990796444466238e-05, -2.1816927414680107e-07], 'WD': [-0.0004065895373009114, 0.0002867733958240533], 'acceleration_voltage': 200000.0, 'convergence_angle': 0.03, 'FOV': 500, 'C10': -0.033522664284528325, 'C12a': 0.3660057301119699, 'C12b': -0.9575329358736082, 'C21a': 41.022482946085766, 'C21b': -20.550174657765176, 'C23a': -8.797826019893817, 'C23b': 45.78004872909723, 'C30': -698.4024685058426, 'C32a': -524.7134236734985, 'C32b': -92.78744909074952, 'C34a': 103.35999133700473, 'C34b': 325.4737257605043, 'C41a': 18990.79644446624, 'C41b': -218.16927414680106, 'C43a': 2915.5033874919786, 'C43b': 168.02193362263043, 'C45a': 1698.3003018604268, 'C45b': -5058.8709695002135, 'C50': -493110.71166678786, 'C56a': -17179.941670789678, 'C56b': 16605.798374551283, 'wavelength': np.float64(0.0025079340436272276), 'C01a': 0.0, 'C01b': 0.0, 'C52a': 0.0, 'C52b': 0.0, 'C54a': 0.0, 'C54b': 0.0}"
200,[174.00658],"{'A1': [4.138274002693904e-10, -2.2889603951557265e-10], 'A2': [-3.2971477207683566e-09, 3.259498335578108e-08], 'C3': [6.556787381437547e-08, 0.0], 'C1': [1.5004093525790112e-10, 0.0], 'A4': [-1.8125563084180914e-07, -1.7440171867679707e-08], 'A3': [1.404884342999487e-07, 1.7040117534705207e-07], 'A5': [-2.6766449158459495e-06, -5.009949747498351e-05], 'B2': [5.1850469660103415e-08, -3.485465877725519e-08], 'B4': [-1.3453436020497425e-06, 3.7983634039366586e-06], 'S3': [-4.743316561829845e-07, -8.481068862414178e-08], 'C5': [-0.0007276827490489894, 0.0], 'D4': [1.8932479841067353e-05, -2.670794625846924e-06], 'WD': [-0.0005261237545306358, 0.00029697604861423006], 'acceleration_voltage': 200000.0, 'convergence_angle': 0.03, 'FOV': 500, 'C10': 0.15004093525790113, 'C12a': 0.4138274002693904, 'C12b': -0.22889603951557266, 'C21a': 51.850469660103414, 'C21b': -34.85465877725519, 'C23a': -3.2971477207683564, 'C23b': 32.59498335578108, 'C30': 65.56787381437547, 'C32a': -474.3316561829845, 'C32b': -84.81068862414179, 'C34a': 140.4884342999487, 'C34b': 170.40117534705206, 'C41a': 18932.479841067354, 'C41b': -2670.7946258469237, 'C43a': -1345.3436020497425, 'C43b': 3798.3634039366584, 'C45a': -181.25563084180914, 'C45b': -17.44017186767971, 'C50': -727682.7490489894, 'C56a': -2676.6449158459495, 'C56b': -50099.49747498351, 'wavelength': np.float64(0.0025079340436272276), 'C01a': 0.0, 'C01b': 0.0, 'C52a': 0.0, 'C52b': 0.0, 'C54a': 0.0, 'C54b': 0.0}"
500,[468.62253],"{'A1': [8.799177454902226e-10, -1.874442270345733e-10], 'A2': [-1.5541634118127476e-08, 4.5052187057345105e-08], 'C3': [-3.4212960603256355e-07, 0.0], 'C1': [8.694668629635453e-10, 0.0], 'A4': [8.00962851588818e-07, 1.5692644134177083e-07], 'A3': [1.6382488991178014e-07, 2.2528878899372103e-07], 'A5': [-5.526311259883215e-05, 3.060636206188867e-05], 'B2': [4.424430175149236e-08, -2.5702509093746994e-08], 'B4': [4.826927682232482e-07, 2.019355427985231e-06], 'S3': [-4.888341863758492e-07, -1.3084990318068468e-07], 'C5': [-0.0005176888986373227, 0.0], 'D4': [1.938815252997315e-05, -9.665741764804205e-07], 'WD': [-0.0002797988391562942, 0.0003165820049659096], 'acceleration_voltage': 200000.0, 'convergence_angle': 0.03, 'FOV': 500, 'C10': 0.8694668629635454, 'C12a': 0.8799177454902226, 'C12b': -0.1874442270345733, 'C21a': 44.24430175149236, 'C21b': -25.702509093746993, 'C23a': -15.541634118127476, 'C23b': 45.05218705734511, 'C30': -342.1296060325636, 'C32a': -488.8341863758492, 'C32b': -130.84990318068466, 'C34a': 163.82488991178013, 'C34b': 225.28878899372103, 'C41a': 19388.15252997315, 'C41b': -966.5741764804205, 'C43a': 482.6927682232482, 'C43b': 2019.355427985231, 'C45a': 800.962851588818, 'C45b': 156.92644134177084, 'C50': -517688.89863732277, 'C56a': -55263.11259883215, 'C56b': 30606.362061888667, 'wavelength': np.float64(0.0025079340436272276), 'C01a': 0.0, 'C01b': 0.0, 'C52a': 0.0, 'C52b': 0.0, 'C54a': 0.0, 'C54b': 0.0}"
1000,[837.0978],"{'A1': [7.003710025741551e-10, -2.487292317526067e-10], 'A2': [-1.3415507063519124e-08, 4.029692337878112e-08], 'C3': [-8.314787804948145e-07, 0.0], 'C1': [1.4062675939982978e-09, 0.0], 'A4': [2.3982496181765763e-06, -2.7506220822580806e-06], 'A3': [1.65370241405418e-07, 2.516794906599136e-07], 'A5': [-8.341237204189118e-05, -2.854420108290363e-06], 'B2': [4.641163081824986e-08, -2.799943696368698e-08], 'B4': [8.52126899160668e-07, 2.7572834278245662e-06], 'S3': [-4.891448262023576e-07, -1.4059827349652673e-07], 'C5': [-0.0003677572491184393, 0.0], 'D4': [2.081159094954375e-05, -1.5382523697281634e-06], 'WD': [-0.00047350829695774846, 0.0007453535741519842], 'acceleration_voltage': 200000.0, 'convergence_angle': 0.03, 'FOV': 500, 'C10': 1.4062675939982978, 'C12a': 0.7003710025741551, 'C12b': -0.24872923175260672, 'C21a': 46.41163081824986, 'C21b': -27.999436963686982, 'C23a': -13.415507063519124, 'C23b': 40.29692337878112, 'C30': -831.4787804948145, 'C32a': -489.14482620235765, 'C32b': -140.59827349652673, 'C34a': 165.370241405418, 'C34b': 251.67949065991363, 'C41a': 20811.590949543748, 'C41b': -1538.2523697281633, 'C43a': 852.126899160668, 'C43b': 2757.2834278245664, 'C45a': 2398.2496181765764, 'C45b': -2750.622082258081, 'C50': -367757.2491184393, 'C56a': -83412.37204189118, 'C56b': -2854.4201082903633, 'wavelength': np.float64(0.0025079340436272276), 'C01a': 0.0, 'C01b': 0.0, 'C52a': 0.0, 'C52b': 0.0, 'C54a': 0.0, 'C54b': 0.0}"
